开放汉语拆字字典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本拆字字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［汉字］	［拆字部件］
chang2	〖彳 尚 徜〗
zhi4	〖彳 直 徝〗
cong2	〖彳 人 人 疋 從〗〖人 人 从〗
zhou1	〖彳 周 徟〗
lai2	〖彳 來 徠〗〖彳 来 徕〗
yu4	〖彳 卸 御〗
xie4	〖彳 疌 徢〗
jie4	〖彳 昔 徣〗
jian4	〖彳 建 徤〗
chi2	〖彳 是 徥〗
jia3	〖彳 叚 徦〗
bian4	〖彳 扁 徧〗
huang2	〖彳 皇 徨〗
fu4, fou4	〖彳 复 復〗〖𠂉 日 夕 复〗〖𠂉 日 夂 复〗
xun2	〖彳 盾 循〗
wei3	〖彳 韋 徫〗〖彳 韦 □〗
pang2	〖彳 旁 徬〗
yao2	〖彳 月 缶 徭〗〖彳 爪 缶 □〗〖彳 爫 缶 □〗
wei1, wei2	〖彳 山 兀 攴 微〗〖彳 山 兀 攵 微〗
xi1, xi2	〖彳 奚 徯〗
zheng1	〖彳 正 正 徰〗
piao4, biao1	〖彳 票 徱〗
chi2	〖彳 犀 徲〗
de2, duo2	〖彳 十 目 心 徳〗〖彳 十 网 一 心 德〗〖彳 十 罒 一 心 德〗
zheng1	〖彳 山 王 攴 徴〗〖彳 山 王 攵 徴〗
zheng1	〖彳 山 一 王 攴 徵〗〖彳 正 征〗
bie4	〖彳 敝 徶〗
de2	〖彳 十 网 一 心 德〗〖彳 十 罒 一 心 德〗
chong1	〖彳 童 徸〗
che4	〖彳 育 攵 徹〗〖彳 切 彻〗
jiao3	〖彳 堯 徺〗〖彳 尧 □〗
wei4	〖彳 會 徻〗〖彳 会 □〗
jiao4, jiao3, jiao1, yao1, yao2	〖彳 敫 徼〗
hui1	〖彳 山 糸 攴 徽〗〖彳 山 糸 攵 徽〗
mei2	〖彳 山 一 言 攴 徾〗〖彳 山 一 言 攵 徾〗
long4	〖彳 龍 徿〗〖彳 龙 □〗
xiang1	〖彳 襄 忀〗
bao4	〖彳 日 出 大 水 忁〗
qu2	〖彳 瞿 忂〗
xin1	〖丿 乚 丶 丶 心〗
bi4	〖心 丿 必〗
le4	〖心 力 忇〗〖忄 力 忇〗
ren2	〖二 心 忈〗
dao1	〖心 刀 忉〗〖忄 刀 忉〗
ding4	〖心 丁 忊〗〖忄 丁 忊〗
gai3	〖心 己 忋〗〖忄 己 忋〗
ji4	〖己 心 忌〗
ren3	〖刃 心 忍〗
ren2	〖千 心 忎〗
tan3	〖上 心 忐〗
te4	〖下 心 忑〗
tui1	〖弋 心 忒〗
gan1	〖心 干 忓〗〖忄 干 忓〗
qi4, yi4	〖心 乞 忔〗〖忄 乞 忔〗
shi4, tai4	〖心 大 忕〗〖忄 大 忕〗
cun3	〖心 寸 忖〗〖忄 寸 忖〗
zhi4	〖士 心 志〗
wang4	〖亡 心 忘〗
mang2	〖心 亡 忙〗〖忄 亡 忙〗
xi1	〖心 也 忚〗〖忄 也 忚〗
fan2	〖心 凡 忛〗〖忄 凡 忛〗
ying1	〖广 心 応〗〖广 小 一 应〗
tian3	〖天 心 忝〗
min2	〖文 心 忞〗
min2	〖心 文 忟〗〖忄 文 忟〗
zhong1	〖中 心 忠〗
chong1	〖心 中 忡〗〖忄 中 忡〗
wu4	〖五 心 忢〗
ji2	〖心 及 忣〗〖忄 及 忣〗
wu3	〖心 午 忤〗〖忄 午 忤〗
xi4	〖氣 心 忥〗〖气 心 忥〗
ye4	〖心 介 忦〗〖忄 介 忦〗
wan4	〖心 元 忨〗〖忄 元 忨〗
cong1	〖公 心 忩〗
song1	〖心 公 忪〗〖忄 公 忪〗
kuai4	〖心 夬 快〗〖忄 夬 快〗
yu4	〖心 予 忬〗〖忄 予 忬〗
bian4	〖心 卞 忭〗〖忄 卞 忭〗
zhi4	〖心 支 忮〗〖忄 支 忮〗
qi2	〖心 氐 忯〗〖忄 氐 忯〗
cui4	〖心 卆 忰〗〖忄 卆 忰〗
chen2	〖心 冘 忱〗〖忄 冘 忱〗
tai4	〖心 太 忲〗〖忄 太 忲〗
tun2, zhun1	〖心 屯 忳〗〖忄 屯 忳〗
qian2	〖心 今 忴〗〖忄 今 忴〗
nian4	〖今 心 念〗
hun2	〖心 云 忶〗〖忄 云 忶〗
xiong1	〖心 凶 忷〗〖忄 凶 忷〗
niu3	〖心 丑 忸〗〖忄 丑 忸〗
wang3	〖心 王 忹〗〖忄 王 忹〗
xian1	〖心 欠 忺〗〖忄 欠 忺〗
xin1	〖心 斤 忻〗〖忄 斤 忻〗
kang1	〖心 亢 忼〗〖忄 亢 忼〗
hu1	〖勿 心 忽〗
fen4	〖分 心 忿〗
ju4	〖心 巨 怇〗〖忄 巨 怇〗
yi4	〖心 世 怈〗〖忄 世 怈〗
bao3	〖心 包 怉〗〖忄 包 怉〗
chao1	〖心 召 怊〗〖忄 召 怊〗
min2	〖心 民 怋〗〖忄 民 怋〗
pei1	〖心 丕 怌〗〖忄 丕 怌〗
zuo4	〖心 乍 怍〗〖忄 乍 怍〗
zen3	〖乍 心 怎〗
yang4	〖心 央 怏〗〖忄 央 怏〗
kou4	〖心 句 怐〗〖忄 句 怐〗
ban4	〖心 半 怑〗〖忄 半 怑〗
nu4	〖奴 心 怒〗
nao2	〖心 奴 怓〗〖忄 奴 怓〗
zheng4, leng4	〖心 正 怔〗〖忄 正 怔〗
pa4	〖心 白 怕〗〖忄 白 怕〗
bu4	〖心 布 怖〗〖忄 布 怖〗
tie1	〖心 占 怗〗〖忄 占 怗〗
gu4	〖古 心 怘〗
hu4	〖心 古 怙〗〖忄 古 怙〗
ju4	〖心 且 怚〗〖忄 且 怚〗
da2	〖心 旦 怛〗〖忄 旦 怛〗
si1	〖田 心 思〗
chou1, you2	〖心 由 怞〗〖忄 由 怞〗
di4	〖心 氐 怟〗〖忄 氐 怟〗
dai4	〖台 心 怠〗
yi2	〖心 台 怡〗〖忄 台 怡〗
tu2, tu1	〖心 失 怢〗〖忄 失 怢〗
you2	〖失 心 怣〗
fu1	〖付 心 怤〗
ji2	〖刍 心 急〗
peng1	〖心 平 怦〗〖忄 平 怦〗
xing4	〖心 生 性〗〖忄 生 性〗
yuan4	〖夗 心 怨〗〖夕 卩 心 怨〗
ni2	〖心 尼 怩〗〖忄 尼 怩〗
guai4	〖心 圣 怪〗〖忄 圣 怪〗
fu2	〖心 弗 怫〗〖忄 弗 怫〗
xi4	〖心 四 怬〗〖忄 四 怬〗
bi4	〖心 必 怭〗〖忄 必 怭〗
you1	〖心 幼 怮〗〖忄 幼 怮〗
qie4, que4	〖心 去 怯〗〖忄 去 怯〗
xuan4	〖心 玄 怰〗〖忄 玄 怰〗
cong1	〖匆 心 怱〗
bing3	〖心 丙 怲〗〖忄 丙 怲〗
huang3	〖心 兄 怳〗〖忄 兄 怳〗
xu4	〖心 戉 怴〗〖忄 戉 怴〗
chu4	〖心 术 怵〗〖忄 术 怵〗
pi1	〖心 皮 怶〗〖忄 皮 怶〗
xi1	〖朮 心 怷〗
xi1	〖术 心 怸〗
tan1	〖他 心 怹〗
chi3, shi4	〖心 多 恀〗〖忄 多 恀〗
ren4	〖任 心 恁〗
xun2	〖心 旬 恂〗〖忄 旬 恂〗
shi4	〖心 寺 恃〗〖忄 寺 恃〗
xi4	〖心 吉 恄〗〖忄 吉 恄〗
lao3	〖心 老 恅〗〖忄 老 恅〗
heng2	〖心 亙 恆〗〖心 亘 恒〗〖忄 亘 恒〗
kuang1	〖心 匡 恇〗〖忄 匡 恇〗
mu2, mou2	〖心 牟 恈〗〖忄 牟 恈〗
zhi3	〖心 旨 恉〗〖忄 旨 恉〗
xie2	〖心 劦 恊〗〖忄 劦 恊〗
tiao1	〖心 兆 恌〗〖忄 兆 恌〗
huang3	〖心 光 恍〗〖忄 光 恍〗
die2	〖心 至 恎〗〖忄 至 恎〗
hao3	〖好 心 恏〗
kong3	〖巩 心 恐〗〖工 凡 心 恐〗
gui3	〖心 危 恑〗〖忄 危 恑〗
xi1	〖心 西 恓〗〖忄 西 恓〗
xiao4	〖心 交 恔〗〖忄 交 恔〗
shu4	〖女 口 心 恕〗
kua3	〖心 夸 恗〗〖忄 夸 恗〗
qiu1	〖心 休 恘〗〖忄 休 恘〗
yang4	〖羊 心 恙〗
hui4	〖圭 心 恚〗
hui2	〖心 回 恛〗〖忄 回 恛〗
chi4	〖心 式 恜〗〖忄 式 恜〗
jia2	〖丰 刀 心 恝〗
yi2	〖心 夷 恞〗〖忄 夷 恞〗
xiong1	〖心 匈 恟〗〖忄 匈 恟〗
guai4	〖心 在 恠〗〖忄 在 恠〗
lin4	〖心 乂 厷 恡〗〖忄 乂 厷 恡〗
hui1	〖心 灰 恢〗〖忄 灰 恢〗
zi4	〖次 心 恣〗
xu4	〖心 血 恤〗〖忄 血 恤〗
chi3	〖耳 心 恥〗〖耳 止 耻〗
xiang4	〖心 向 恦〗〖忄 向 恦〗
nü4	〖而 心 恧〗
hen4	〖心 艮 恨〗〖忄 艮 恨〗
en1	〖因 心 恩〗
ke4	〖心 各 恪〗〖忄 各 恪〗
dong4	〖心 同 恫〗〖忄 同 恫〗
tian2	〖心 舌 恬〗〖忄 舌 恬〗
gong1	〖共 心 恭〗〖共 小 丶 恭〗
quan2	〖心 全 恮〗〖忄 全 恮〗
xi1, xi2	〖自 心 息〗
qia4	〖心 合 恰〗〖忄 合 恰〗
yue4	〖心 兊 恱〗〖忄 兊 恱〗
peng1	〖心 并 恲〗〖忄 并 恲〗
de2	〖亠 日 心 恴〗
hui4	〖一 由 心 恵〗〖叀 心 惠〗
mang2	〖心 芒 恾〗〖忄 芒 恾〗
yong3	〖心 甬 悀〗〖忄 甬 悀〗
yuan1, juan4	〖心 肙 悁〗〖忄 肙 悁〗
pi1	〖心 坒 悂〗〖忄 坒 悂〗
kun3	〖心 困 悃〗〖忄 困 悃〗
qiao1, qiao3	〖心 肖 悄〗〖忄 肖 悄〗
yue4	〖心 兌 悅〗〖心 兑 悦〗〖忄 兑 悦〗
yu4	〖余 心 悆〗
yu4, tu2	〖心 余 悇〗〖忄 余 悇〗
jie4	〖心 戒 悈〗〖忄 戒 悈〗
xi1	〖采 心 悉〗〖釆 心 悉〗
zhe2	〖折 心 悊〗
lin4	〖心 吝 悋〗〖忄 吝 悋〗
ti4	〖心 弟 悌〗〖忄 弟 悌〗
han4	〖心 旱 悍〗〖忄 旱 悍〗
hao4	〖心 告 悎〗〖忄 告 悎〗
qie4	〖心 夾 悏〗〖心 夹 □〗〖忄 夹 □〗
ti4	〖狄 心 悐〗
bu4	〖心 甫 悑〗〖忄 甫 悑〗
yi4	〖心 邑 悒〗〖忄 邑 悒〗
qian4	〖心 見 悓〗〖心 见 □〗〖忄 见 □〗
hui3	〖心 每 悔〗〖忄 每 悔〗
xi1	〖心 希 悕〗〖忄 希 悕〗
bei4	〖心 孛 悖〗〖忄 孛 悖〗
man2, men4	〖心 免 悗〗〖忄 免 悗〗
yi1	〖医 心 悘〗
heng1	〖心 亨 悙〗〖忄 亨 悙〗
song3	〖心 束 悚〗〖忄 束 悚〗
quan1	〖心 夋 悛〗〖忄 夋 悛〗
cheng3	〖心 呈 悜〗〖忄 呈 悜〗
kui1, hui1, li3	〖心 里 悝〗〖忄 里 悝〗
wu4	〖心 吳 悞〗〖心 吴 悮〗〖忄 吴 悮〗
wu4	〖心 吾 悟〗〖忄 吾 悟〗
you1	〖攸 心 悠〗
li2	〖利 心 悡〗
liang4	〖心 良 悢〗〖忄 良 悢〗
huan4	〖串 心 患〗
cong1	〖囱 心 悤〗
yi4, yi1	〖言 心 悥〗
li4	〖心 利 悧〗〖忄 利 悧〗
nin2	〖你 心 您〗
nao3	〖心 小 乂 凵 悩〗〖心 亠 乂 凵 恼〗〖忄 亠 乂 凵 恼〗
e4	〖亜 心 悪〗〖亚 心 恶〗
cong2	〖心 宗 悰〗〖忄 宗 悰〗
fei3	〖心 非 悱〗〖忄 非 悱〗
bei1	〖非 心 悲〗
duo2	〖直 心 悳〗
cui4	〖心 卒 悴〗〖忄 卒 悴〗
chang4	〖心 長 悵〗〖心 长 怅〗〖忄 长 怅〗
men4	〖門 心 悶〗〖门 心 闷〗
li4	〖心 戾 悷〗〖忄 戾 悷〗
ji4	〖心 季 悸〗〖忄 季 悸〗
guan4	〖官 心 悹〗
guan4	〖心 官 悺〗〖忄 官 悺〗
xing4	〖心 幸 悻〗〖忄 幸 悻〗
dao4	〖心 卓 悼〗〖忄 卓 悼〗
qi1	〖心 妻 悽〗〖忄 妻 悽〗
kong1	〖心 空 悾〗〖忄 空 悾〗
tian3	〖心 忝 悿〗〖忄 忝 悿〗
lun2, lun3	〖心 侖 惀〗〖心 仑 □〗〖忄 仑 □〗
xi1	〖析 心 惁〗
kan3	〖心 臽 惂〗〖忄 臽 惂〗
kun1	〖心 昆 惃〗〖忄 昆 惃〗
ni4	〖叔 心 惄〗
qing2	〖心 青 情〗〖忄 青 情〗
chou2	〖心 周 惆〗〖忄 周 惆〗
dun1	〖心 享 惇〗〖忄 享 惇〗
guo3	〖心 果 惈〗〖忄 果 惈〗
chan1, zhan1	〖沾 心 惉〗
wan3, wan4	〖心 宛 惋〗〖忄 宛 惋〗
yuan1, yu4	〖宛 心 惌〗〖宀 怨 惌〗
jin1	〖心 金 惍〗〖忄 金 惍〗
ji4	〖其 心 惎〗
lin2, lan2	〖心 林 惏〗〖忄 林 惏〗
yu4	〖心 或 惐〗〖忄 或 惐〗
huo4	〖或 心 惑〗
he2	〖和 心 惒〗
quan2	〖心 卷 惓〗〖忄 卷 惓〗
tan2, dan4	〖心 炎 惔〗〖忄 炎 惔〗
ti4	〖心 易 惕〗〖忄 易 惕〗
ti4	〖易 心 惖〗
nie1	〖心 念 惗〗〖忄 念 惗〗
wang3	〖心 罔 惘〗〖忄 罔 惘〗
chuo4	〖心 叕 惙〗〖忄 叕 惙〗
hu1	〖心 忽 惚〗〖忄 忽 惚〗
hun1	〖心 昏 惛〗〖忄 昏 惛〗
xi1, xi2	〖心 昔 惜〗〖忄 昔 惜〗
chang3, tang3	〖心 尚 惝〗〖忄 尚 惝〗
xin1	〖心 欣 惞〗〖忄 欣 惞〗
wei2	〖心 隹 惟〗〖忄 隹 惟〗
hui4	〖叀 心 惠〗〖一 由 厶 心 惠〗
e4, wu4	〖亞 心 惡〗〖亚 心 恶〗
rui3, suo3	〖心 心 心 惢〗
zong3	〖物 心 惣〗
jian1	〖心 弦 惤〗〖忄 弦 惤〗
yong3	〖臾 心 惥〗
dian4	〖心 店 惦〗〖忄 店 惦〗
de2	〖直 心 惪〗
duo4	〖心 左 肉 惰〗〖忄 左 月 惰〗
nao3	〖心 巛 囟 惱〗〖心 亠 乂 凵 恼〗〖忄 亠 乂 凵 恼〗
yun4	〖心 軍 惲〗〖心 军 恽〗〖忄 军 恽〗
xiang3	〖相 心 想〗
zhui4	〖心 耑 惴〗〖忄 耑 惴〗〖心 山 而 惴〗
die4	〖心 枼 惵〗〖忄 枼 惵〗
huang2	〖心 皇 惶〗〖忄 皇 惶〗
chun3	〖春 心 惷〗
qiong2	〖心 旬 子 惸〗〖忄 旬 子 惸〗
re3	〖若 心 惹〗
xing1	〖心 星 惺〗〖忄 星 惺〗
ce4	〖心 則 惻〗〖心 则 恻〗〖忄 则 恻〗
bian3	〖心 扁 惼〗〖忄 扁 惼〗
hun1	〖心 昬 惽〗〖忄 昬 惽〗
zong1	〖心 凶 八 夕 惾〗〖忄 凶 八 夂 惾〗
ti2	〖心 是 惿〗〖忄 是 惿〗
qiao3	〖心 秋 愀〗〖忄 秋 愀〗
chou2	〖秋 心 愁〗
bei4, bei3	〖勃 心 愂〗
xuan1, xuan3	〖心 宣 愃〗〖忄 宣 愃〗
wei1	〖心 畏 愄〗〖忄 畏 愄〗
ge2	〖心 革 愅〗〖忄 革 愅〗
qian1	〖衍 心 愆〗
wei3	〖心 韋 愇〗〖心 韦 □〗〖忄 韦 □〗
yu4	〖俞 心 愈〗
yu2	〖心 俞 愉〗〖忄 俞 愉〗
bi4	〖心 畐 愊〗〖忄 畐 愊〗
xuan1	〖心 爰 愋〗〖忄 爰 愋〗
huan4	〖心 奐 愌〗〖心 奂 □〗〖忄 奂 □〗
min3	〖敃 心 愍〗
bi4	〖心 复 愎〗〖忄 复 愎〗
yi4	〖音 心 意〗
mian3	〖心 面 愐〗〖忄 面 愐〗
yong3	〖心 勇 愑〗〖忄 勇 愑〗
kai4, qi4	〖心 曷 愒〗〖忄 曷 愒〗
dang4, shang1	〖心 昜 愓〗〖心 弓 丿 丿 □〗〖忄 弓 丿 丿 □〗
yin1	〖心 音 愔〗〖忄 音 愔〗
e4	〖心 咢 愕〗〖忄 咢 愕〗
chen2	〖心 甚 愖〗〖忄 甚 愖〗
mou4	〖敄 心 愗〗
ke4	〖心 客 愘〗〖忄 客 愘〗
ke4	〖客 心 愙〗
yu2	〖禺 心 愚〗
ai4	〖爪 冖 心 夂 愛〗〖爪 冖 友 爱〗〖爫 冖 友 爱〗
qie4	〖心 匧 愜〗〖心 匧 惬〗〖忄 匧 惬〗
yan3	〖心 匽 愝〗〖忄 匽 愝〗
nuo4	〖心 耎 愞〗〖忄 耎 愞〗
gan3	〖咸 心 感〗
zong3	〖心 怱 愡〗〖忄 怱 愡〗
sai1	〖心 思 愢〗〖忄 思 愢〗
leng4	〖心 网 方 愣〗〖忄 罒 方 愣〗
kui4	〖心 鬼 愧〗〖忄 鬼 愧〗
que4	〖士 冖 一 殳 心 愨〗
gong1	〖心 貢 愩〗〖心 贡 □〗〖忄 贡 □〗
yun2	〖心 員 愪〗〖心 员 □〗〖忄 员 □〗
su4	〖心 素 愫〗〖忄 素 愫〗
su4, shuo4	〖朔 心 愬〗
qi2	〖心 耆 愭〗〖忄 耆 愭〗
yao2	〖心 月 缶 愮〗〖心 爪 缶 □〗〖忄 爫 缶 □〗
song3	〖心 隻 愯〗〖忄 隻 愯〗
huang3	〖心 晃 愰〗〖忄 晃 愰〗
ji2	〖心 疾 愱〗〖忄 疾 愱〗
gu3	〖心 骨 愲〗〖忄 骨 愲〗
ju4	〖目 目 心 愳〗
chuang4	〖心 倉 愴〗〖心 仓 怆〗〖忄 仓 怆〗
ni4	〖心 弱 愵〗〖忄 弱 愵〗
xie2	〖心 脅 愶〗〖忄 脅 愶〗
kai3	〖心 豈 愷〗〖心 岂 恺〗〖忄 岂 恺〗
zheng3	〖勑 心 愸〗〖来 力 心 □〗
yong3	〖心 容 愹〗〖忄 容 愹〗
cao3	〖心 草 愺〗〖忄 草 愺〗
sun4, xun4	〖孫 心 愻〗〖孙 心 □〗
shen4	〖心 眞 愼〗〖心 真 慎〗〖忄 真 慎〗
bo2	〖心 尃 愽〗〖忄 尃 愽〗
kai4	〖心 氣 愾〗〖心 气 忾〗〖忄 气 忾〗
xie2	〖心 奚 慀〗〖忄 奚 慀〗
hun4	〖圂 心 慁〗
yong3	〖涌 心 慂〗〖甬 心 恿〗
yang3	〖心 翁 慃〗〖忄 翁 慃〗
li4	〖心 栗 慄〗〖西 木 栗〗
sao1, cao3	〖心 蚤 慅〗〖忄 蚤 慅〗
tao1	〖心 舀 慆〗〖忄 舀 慆〗
yin1	〖殷 心 慇〗
ci2	〖茲 心 慈〗
xu4	〖心 畜 慉〗〖忄 畜 慉〗
qian4, qie4	〖心 丶 丶 兼 慊〗〖忄 丶 丶 兼 慊〗
tai4	〖能 心 態〗〖太 心 态〗
huang1	〖心 荒 慌〗〖忄 荒 慌〗
yun4	〖心 囚 皿 慍〗〖心 昷 愠〗〖忄 昷 愠〗
shen4	〖心 真 慎〗〖忄 真 慎〗
ming3	〖心 冥 慏〗〖忄 冥 慏〗
cong2	〖心 曹 慒〗〖忄 曹 慒〗
piao4	〖心 票 慓〗〖忄 票 慓〗
mo4	〖心 莫 慔〗〖忄 莫 慔〗
mu4	〖莫 心 慕〗〖莫 小 丶 慕〗
guo2	〖心 國 慖〗〖心 国 □〗〖忄 国 □〗
chi4	〖敕 心 慗〗
can3	〖心 參 慘〗〖心 参 惨〗〖忄 参 惨〗
can2	〖斬 心 慙〗〖斩 心 □〗
can2	〖心 斬 慚〗〖心 斩 惭〗〖忄 斩 惭〗
cui2	〖心 崔 慛〗〖忄 崔 慛〗
min3	〖敏 心 慜〗
te4, ni4	〖匿 心 慝〗
zhang1	〖心 章 慞〗〖忄 章 慞〗
tong4	〖心 動 慟〗〖心 动 恸〗〖忄 动 恸〗
ao4	〖心 敖 慠〗〖忄 敖 慠〗
shuang3	〖心 爽 慡〗〖忄 爽 慡〗
man4	〖心 曼 慢〗〖忄 曼 慢〗
guan4	〖心 貫 慣〗〖心 贯 惯〗〖忄 贯 惯〗
que4	〖壳 殳 心 慤〗〖壳 心 悫〗
zao4, cao4	〖心 造 慥〗〖忄 造 慥〗
jiu4	〖救 心 慦〗
hui4	〖彗 心 慧〗
kai3	〖心 既 慨〗〖忄 既 慨〗
lian2	〖心 連 慩〗〖心 连 □〗〖忄 连 □〗
ou4	〖心 區 慪〗〖心 区 怄〗〖忄 区 怄〗
song3	〖從 心 慫〗〖从 心 怂〗
jin3, jin4, qin2	〖心 堇 慬〗〖忄 堇 慬〗
lü4	〖虎 思 心 慮〗〖虎 心 虑〗〖虍 心 虑〗
shang1	〖心 𠂉 昜 慯〗〖心 𠂉 力 □〗〖忄 𠂉 力 □〗
wei4	〖尉 心 慰〗
tuan2	〖心 專 慱〗〖心 专 □〗〖忄 专 □〗
man2	〖心 廿 冂 丨 入 入 慲〗〖心 草 两 □〗〖心 艹 两 □〗〖心 𬜯 □〗
qian1	〖心 堅 慳〗〖心 坚 悭〗〖忄 坚 悭〗
she4, zhe2	〖心 習 慴〗〖忄 習 慴〗
yong1	〖心 庸 慵〗〖忄 庸 慵〗
qing4	〖广 乛 一 丨 丨 乛 心 夕 慶〗〖广 大 庆〗
kang1	〖心 康 慷〗〖忄 康 慷〗
di4	〖帶 心 慸〗〖带 心 □〗
zhi2, zhe2	〖執 心 慹〗〖执 心 □〗
lou2	〖心 婁 慺〗〖心 娄 □〗〖忄 娄 □〗
juan4	〖心 丷 夫 目 慻〗〖忄 丷 夫 目 慻〗
qi1	〖戚 心 慼〗
qi1	〖心 戚 慽〗〖忄 戚 慽〗
yu4	〖欲 心 慾〗〖谷 欠 欲〗
liao2	〖心 翏 憀〗〖忄 翏 憀〗
cong1, zong3	〖心 悤 憁〗〖忄 悤 憁〗
you1	〖一 白 冖 心 夕 憂〗〖心 尤 忧〗〖忄 尤 忧〗
chong1	〖舂 心 憃〗
zhi4	〖徝 心 憄〗
tong4	〖動 心 憅〗
cheng1, zheng4	〖心 堂 憆〗〖忄 堂 憆〗
qi4	〖甜 心 憇〗
qu1	〖心 虛 憈〗〖心 虚 □〗〖忄 虚 □〗
peng2	〖心 彭 憉〗〖忄 彭 憉〗
bei4	〖備 心 憊〗〖备 心 惫〗
bie1	〖敝 心 憋〗
chun2	〖鈞 心 憌〗〖钧 心 □〗
jiao1	〖心 喬 憍〗〖心 乔 □〗〖忄 乔 □〗
zeng1	〖心 曽 憎〗〖忄 曽 憎〗〖心 曾 憎〗
chi4	〖心 祭 憏〗〖忄 祭 憏〗
lian2	〖心 粦 憐〗〖心 令 怜〗〖忄 令 怜〗
ping2	〖馮 心 憑〗〖任 几 凭〗
kui4	〖心 貴 憒〗〖心 贵 愦〗〖忄 贵 愦〗
hui4	〖心 惠 憓〗〖忄 惠 憓〗
qiao2	〖心 焦 憔〗〖忄 焦 憔〗
cheng2	〖心 登 憕〗〖忄 登 憕〗
yin4	〖猌 心 憖〗〖来 犬 心 慭〗
yin4	〖心 來 攴 憗〗〖心 来 攴 □〗〖来 攵 □〗
xi3	〖心 喜 憘〗〖忄 喜 憘〗
xi3	〖喜 心 憙〗
dan4	〖心 單 憚〗〖心 单 惮〗〖忄 单 惮〗
tan2	〖心 覃 憛〗〖忄 覃 憛〗
duo3	〖心 隋 憜〗〖忄 隋 憜〗
dui4	〖敦 心 憝〗
dui4	〖心 敦 憞〗〖忄 敦 憞〗
su4	〖心 粟 憟〗〖忄 粟 憟〗
jue2	〖厥 心 憠〗
ce4	〖心 策 憡〗〖忄 策 憡〗
xiao1	〖心 堯 憢〗〖心 尧 □〗〖忄 尧 □〗
fan2, fan1	〖心 番 憣〗〖忄 番 憣〗
fen4	〖心 賁 憤〗〖心 贲 愤〗〖忄 贲 愤〗〖心 十 艹 贝 愤〗
lao2	〖勞 心 憥〗〖劳 心 □〗
lao4	〖心 勞 憦〗〖心 劳 □〗〖忄 劳 □〗
chong1	〖心 童 憧〗〖忄 童 憧〗
han1	〖敢 心 憨〗
qi4	〖舌 自 心 憩〗
xian2	〖心 閒 憪〗〖心 闲 □〗〖忄 闲 □〗
min3	〖心 閔 憫〗〖心 闵 悯〗〖忄 闵 悯〗
jing3	〖心 景 憬〗〖忄 景 憬〗
liao3, liao2	〖心 尞 憭〗〖忄 尞 憭〗
wu3	〖心 無 憮〗〖心 无 怃〗〖忄 无 怃〗
can3	〖心 朁 憯〗〖忄 朁 憯〗
jue2	〖心 矞 憰〗〖忄 矞 憰〗
cu4	〖心 就 憱〗〖忄 就 憱〗
xian4	〖宀 丰 网 心 憲〗〖宀 先 宪〗
tan3	〖心 尋 憳〗〖心 寻 □〗〖忄 寻 □〗
sheng2	〖心 黽 憴〗〖心 黾 □〗〖忄 黾 □〗
pi1	〖辟 心 憵〗
yi4	〖心 意 憶〗〖心 乙 忆〗〖忄 乙 忆〗
chu3	〖心 楚 憷〗〖忄 楚 憷〗
xian1	〖心 僉 憸〗〖心 佥 □〗〖忄 佥 □〗
nao2	〖心 農 憹〗〖心 农 □〗〖忄 农 □〗
dan4	〖心 詹 憺〗〖忄 詹 憺〗
tan3	〖心 亶 憻〗〖忄 亶 憻〗
jing3	〖敬 心 憼〗
song1	〖心 葱 憽〗〖忄 葱 憽〗
han4	〖心 感 憾〗〖忄 感 憾〗
jiao1, ji1, jiao3	〖心 敫 憿〗〖忄 敫 憿〗
wai4	〖心 會 懀〗〖忄 會 懀〗
huan2, xuan1	〖心 睘 懁〗〖忄 睘 懁〗
dong3	〖心 董 懂〗〖忄 董 懂〗
qin2	〖勤 心 懃〗
qin2	〖心 勤 懄〗〖忄 勤 懄〗
qu2, ju4	〖心 豦 懅〗〖忄 豦 懅〗
cao3	〖心 喿 懆〗〖忄 喿 懆〗
ken3	〖豸 艮 心 懇〗〖艮 心 恳〗
xie4	〖心 解 懈〗〖忄 解 懈〗
ying1, ying4	〖广 人 隹 心 應〗〖广 小 一 应〗
ao4	〖心 奧 懊〗〖心 奥 懊〗
mao4	〖楙 心 懋〗
yi4	〖心 睪 懌〗〖心 又 二 丨 怿〗〖忄 又 二 丨 怿〗
lin3	〖心 稟 懍〗〖心 禀 懔〗〖忄 禀 懔〗
se4	〖心 嗇 懎〗〖心 啬 □〗〖忄 啬 □〗
jun4	〖心 雋 懏〗〖忄 雋 懏〗
huai2	〖心 十 目 衣 懐〗〖心 不 怀〗〖忄 不 怀〗
ai4	〖心 愛 懓〗〖心 爱 □〗〖忄 爱 □〗
yan1	〖厭 心 懕〗〖厌 心 □〗
gua1	〖銛 心 懖〗〖铦 心 □〗
xia4	〖心 赫 懗〗〖忄 赫 懗〗
chi4	〖滯 心 懘〗〖滞 心 □〗
yu3, yu2	〖心 與 懙〗〖心 与 □〗〖忄 与 □〗
yin4	〖心 爪 工 彐 心 懚〗〖心 爪 工 彐 心 □〗〖忄 爫 工 彐 心 □〗
dai1	〖心 臺 懛〗〖心 台 □〗〖忄 台 □〗
meng4	〖心 夢 懜〗〖心 梦 □〗〖忄 梦 □〗
