开放汉语拆字字典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本拆字字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［汉字］	［拆字部件］
zhen4	〖人 辰 侲〗〖亻 辰 侲〗
zuo4, cuo4	〖人 坐 侳〗〖亻 坐 侳〗
chou3	〖人 一 丑 刀 侴〗〖人 一 丑 刂 侴〗
qin1	〖人 彐 冖 又 侵〗〖亻 彐 冖 又 侵〗
lü3	〖人 呂 侶〗〖人 吕 侣〗〖亻 吕 侣〗
ju2	〖人 局 侷〗〖亻 局 侷〗
shu4	〖人 豆 侸〗〖亻 豆 侸〗
ting3	〖人 廷 侹〗〖亻 廷 侹〗
shen4	〖人 岑 侺〗〖亻 岑 侺〗
tuo1	〖人 兌 侻〗〖亻 兌 侻〗
bo2	〖人 孛 侼〗〖亻 孛 侼〗
nan2	〖人 男 侽〗〖亻 男 侽〗
hao1	〖人 孝 侾〗〖亻 孝 侾〗
bian4, pian2	〖人 更 便〗〖亻 更 便〗
tui3	〖人 妥 俀〗〖亻 妥 俀〗
yu3	〖人 吳 俁〗〖人 吴 俣〗〖亻 吴 俣〗
xi4	〖人 系 係〗〖丿 糸 系〗〖丿 幺 小 系〗
cu4	〖人 足 促〗〖亻 足 促〗
e2	〖人 我 俄〗〖亻 我 俄〗
qiu2	〖人 求 俅〗〖亻 求 俅〗
xu2, shu1	〖人 余 俆〗〖亻 余 俆〗
kuang3, kuang1, guang4	〖人 狂 俇〗〖亻 狂 俇〗
ku4	〖人 告 俈〗〖亻 告 俈〗
wu4	〖人 吾 俉〗〖亻 吾 俉〗
jun4	〖人 夋 俊〗〖亻 夋 俊〗
yi4	〖人 邑 俋〗〖亻 邑 俋〗
fu3	〖人 甫 俌〗〖亻 甫 俌〗
lang2	〖人 良 俍〗〖亻 良 俍〗
zu3	〖人 人 且 俎〗〖仌 且 俎〗
qiao4	〖人 肖 俏〗〖亻 肖 俏〗
li4	〖人 利 俐〗〖亻 利 俐〗
yong3	〖人 甬 俑〗〖亻 甬 俑〗
hun4	〖人 完 俒〗〖亻 完 俒〗
jing4	〖人 巠 俓〗〖人 圣 □〗〖亻 圣 □〗
xian4	〖人 見 俔〗〖人 见 伣〗〖亻 见 伣〗
san4	〖人 宋 俕〗〖亻 宋 俕〗
pai3	〖人 否 俖〗〖亻 否 俖〗
su2	〖人 谷 俗〗〖亻 谷 俗〗
fu2	〖人 孚 俘〗〖亻 孚 俘〗
xi1	〖人 希 俙〗〖亻 希 俙〗
li3	〖人 里 俚〗〖亻 里 俚〗
fu3, mian3	〖人 免 俛〗〖亻 免 俛〗
ping1	〖人 甹 俜〗〖亻 甹 俜〗
bao3	〖人 呆 保〗〖亻 呆 保〗
yu2	〖人 一 月 刀 俞〗〖人 一 月 刂 俞〗
qi2, si4	〖人 矣 俟〗〖亻 矣 俟〗
xia2	〖人 夾 俠〗〖人 夹 侠〗〖亻 夹 侠〗
xin4	〖人 言 信〗〖亻 言 信〗
xiu1	〖人 夕 彡 俢〗〖亻 夂 彡 俢〗
ti4	〖人 弟 俤〗〖亻 弟 俤〗
che1	〖人 車 俥〗〖人 车 伡〗〖亻 车 伡〗
xiu1	〖攸 彡 修〗
fu3	〖人 府 俯〗〖亻 府 俯〗
he4	〖人 和 俰〗〖亻 和 俰〗
ju4	〖人 具 俱〗〖亻 具 俱〗
xiao4	〖人 効 俲〗〖亻 効 俲〗
pai2	〖人 非 俳〗〖亻 非 俳〗
jian4	〖人 戔 俴〗〖人 戋 □〗〖亻 戋 □〗
biao4	〖人 表 俵〗〖亻 表 俵〗
chu4, ti4	〖人 叔 俶〗〖亻 叔 俶〗
fei4	〖人 肥 俷〗〖亻 肥 俷〗
feng4	〖人 奉 俸〗〖亻 奉 俸〗
ya4	〖人 亞 俹〗〖人 亚 □〗〖亻 亚 □〗
an3	〖人 奄 俺〗
bei4	〖人 备 俻〗〖亻 备 俻〗
yu4	〖人 育 俼〗〖亻 育 俼〗
xin1	〖人 欣 俽〗〖亻 欣 俽〗
bi3	〖人 卑 俾〗〖亻 卑 俾〗
jian4	〖人 虎 俿〗〖亻 虎 俿〗
chang1	〖人 長 倀〗〖人 长 伥〗〖亻 长 伥〗
chi2	〖人 知 倁〗〖亻 知 倁〗
bing4	〖人 幷 倂〗〖人 并 併〗〖亻 并 併〗
zan2, za2	〖人 咎 倃〗〖亻 咎 倃〗
yao2	〖人 肴 倄〗〖亻 肴 倄〗
cui4	〖人 卒 倅〗〖亻 卒 倅〗
lia3, liang3	〖人 兩 倆〗〖人 两 俩〗〖亻 两 俩〗
wan3	〖人 宛 倇〗〖亻 宛 倇〗
lai2, lai4	〖人 來 倈〗〖人 来 俫〗〖亻 来 俫〗
cang1	〖人 户 一 口 倉〗〖人 㔾 仓〗
